Answer ID,Speaker ID,Speaker Company,Speaker Name,Answer
0,0,CFO & Executive VP,Jason Jerrome Tyler,"Sure. Alex, let me -- I'll start on the first dynamic of organic growth. It was a strong organic growth period. And I think both year-over-year and then sequentially, it was nice to see we had organic growth, both in the C&IS business and used it at a high level. It was a little over 1% of pure net new business that contributed to the growth in C&IS. And then we also had overall positive growth in the -- from an organic perspective in the Wealth Management side of the business. And you don't see it, but the asset management business on its own also provided some positive organic growth, which is nice to see. A lot of it was driven by very strong movement into cash. I was looking at over the weekend, I think there was over $30 billion in flows overall into that category. 
And our NIF treasury fund is #1 in its peer group and investment performance. And just that set of funds alone has AUM of over $60 billion right now. So in a lot of ways, things are going well. I think it's also important, just take a second to think about some of the interactions we've had with our business. And this, I think, feeds into your question about how we should think about this in the longer term. And just take Wealth Management, for example, I was talking to some of the leaders there and just some interesting notes. One, their call report volume, just activity with clients has really skyrocketed. Over 100% increase in call reports just from our central region, just gives a sense of the activity there. We do these webinars to teach clients about and talk more from our experts about what's going on. We typically get about 800 or 900 people show up for those virtually. And they're at record levels now. 
There's over 3,000 people consistently coming into that. And then even the marketing material, we've -- we track things as granularly as the page views that we get from the marketing material we send out, that's -- that averages about 1,200 page views. And over the last several weeks, we've been averaging 6,000 to 10,000. And so I think in the short run, it was interesting to see that we were able to actually close good pieces of new business that was already in the pipeline. I think the very long-term bodes very well for us, given some of the statistics just throughout the engagement we've had with clients. I think if there's an area of caution, it's going to be in that midterm pipeline. 
I think there's just not as few clients that are going to be spinning up new opportunities, whether it's on the C&IS side, they feel the same way, or the wealth side. So I think we're going to close all the business that we can that was already in kind of the one not funded late in the pipeline. And I think the long-term looks very good, and we can talk about the more countercyclical dynamics of outsourcing that lead into help on the new business side for C&IS, but the long-term feels good. I think the short term, we obviously have to be cautious about. 
And then on the expenses, I'll start, but maybe Mike or Mark will join in. As we think about that, we want to bucket it in a few different categories. And probably the best way to think about it might even be just to look through -- if you go to Page 7 of the earnings release, that outlines expenses pretty well and in more detail. And first of all, we had a long list of different paths we could take on this from just saying, ""let's let expenses play through"" to ""let's go ahead and do a full replan of expenses, "" and we took the latter approach. We took a very aggressive detailed approach to unwrapping our expenses based on what we knew the environment was going to look like in the short run, at least. 
And so we un-bucketed things the way we traditionally do: inflation, productivity, business growth and investments. And we've been very aggressive at outlining where we can address expenses. Then if you look at Page 7, the areas that are more related to client activity or markets have to do with outside services and equipment and software. And super high level, roughly, you get kind of 30% to 40% of those have that type -- they have some correlation to markets and new business. Those are the areas we've been laser-focused on. But even on IT investment, we're just rerationalizing everything that we've committed to do."
0,2,"Chairman, President & CEO",Michael G. O’Grady,"Yes, this is Mike. I would just add to what Jason said that there are near-term actions that we've already taken and continue -- can continue to take, which definitely looks to bring down the expense run rate from where we were in the fourth quarter and then where we are now. And then just given that the world has changed and will change, there are new opportunities for productivity over the long term. I mean if you think about real estate costs and other costs that come with having everybody in facilities versus now, as I mentioned earlier, we're roughly 90% people working from home. It's not going to stay at that level, but I also don't think the operating model will be the same once we get through this."
1,0,CFO & Executive VP,Jason Jerrome Tyler,"Sure, Glenn. Well, let me just start with some of the assumptions that went into the forecast. And I think, like a lot of firms, we -- the SEC is very specific in saying, you've got to pick it -- use your end-of-period date, use your forecast at that point to drive your increase or decrease in reserves. And so we obviously follow that. If you look at right at the end of the period, we were looking at unemployment of 10%. We had a peak-to-trough change in GDP of just over 6%. And then as you likely know, that's not it. It's not like we have those assumptions and then it spits out the $61 million provision number. We have a variety -- dozens of factors that go from there. 
And from the number of forecast that we use, the weights and the priorities of those forecasts. The downgrade assumptions of the underlying credits, which drive the expected loss assumptions. And so you go through a very rigorous governance process to take the output of the forecast and the model to drive to a final number for provision. Now after we did that, like all other financial firms, we went through a new forecasting period. The economic inputs in the market were changing dramatically. We're watching that closely. So within the next couple of weeks, we went through a forecast that went to an unemployment peak of 14.5% and peak-to-trough GDP change of 7.5%. And so that gives an indication that directionally, the provision number, if we were to go through that same governance process, would have yielded a higher provision number at that point. 
Now that said, we didn't go through that same finalization of the governance process after that second forecast was run. We could do that every day. But it's very -- it's a very rigorous process, but we follow the letter of what the SEC and what the accounting guidelines provide us to do. And so we will continue to do those updates as we always do with our forecasting process, and we'll have that rigorous process added to it as we get into the next reporting period. 
And then if we want to touch on the loan book itself, we -- why don't we go through some headlines on it, I'll start and then maybe Mark can jump in. I think the key is the -- it's -- there's no dramatic difference between what we've told you before about the loan portfolio and what it is today. There's a lot of other even qualitative assumptions that go into that -- the number that drives the CECL accounting provision number but why don't we provide a little bit more information. So Mark, I'll turn it over to you for that."
1,1,Senior VP & Director of Investor Relations,Mark M. Bette,"Yes. Looking at the entire loan portfolio, over 20% of the loans are to private clients, secured by marketable securities primarily. And those are primarily custody to Northern Trust. You do have about 20% of the portfolio, which is residential real estate. Again, the nature of those obligors is somewhat unique. I mean for example, over 75% of those would have FICO scores of 740 or higher. 
When you start to look at the commercial and the commercial real estate, the commercial is predominantly investment grade. And on the commercial real estate side, the lending is to investors as opposed to developers. And over 95% of those commercial real estate loans have personal guarantees as well. So pretty high quality. When we look at the C&I portfolio as far as where the high impact or low impacts might be from the current situation that we find ourselves in. We would say we're very much predominantly in what we would hope is in the lower impact when we look at the kind of industry segmentation there."
2,0,CFO & Executive VP,Jason Jerrome Tyler,"Sure. Thanks, Mike. I'll start. Well, first of all, the more time we spend around NII, I think what jumps out to me is that the key is actually less the size of the balance sheet, which is driven so much by the deposit growth. It has much more to do with what's happening with loan volume. And if you think about it, the size of the balance sheet and the size of average earning assets is going to be dominated by client deposits coming on. And on a different interest rate environment, that's going to have an impact on NII. And -- but in the short run, you think about it on an incremental basis, we're not investing those deposits long, and we're not investing them with credit risk either. 
And so the dynamic there is that effectively you're bringing -- the size is driven by deposits that are going to be reinvested a lot in IOER at 10 basis points. And maybe something -- a little somewhat different than that, but not dramatically. The things that are going to drive NII more, are going to be really 2 things: one, the volume of loans; and then secondly, we've talked about this before, but the spread of 1-month LIBOR to the bottom end of Fed funds or IOER, very important. 
And it really gives you a sense of the NII impact of a lot of the earning assets and how those are going to behave and contribute to NII. And so those are the -- those are really the big factors. And so I mentioned that because I think it's just important to decouple and not try and predict NII based on where that 1.51% in NIM is going to go. I think you have to have more of a bottoms-up approach of thinking about particularly loans and then what is LIBOR going to do. LIBOR has been coming down a couple of basis points a day effectively and where you think that the trajectory there is going to go is a very important factor."
3,0,CFO & Executive VP,Jason Jerrome Tyler,"Sure. So just to start with the end. It's actually -- I think it's a little higher than that. It's about 80% of the loan book is actually floating at this point. And that's tied very mostly to LIBOR. And then to what our assumptions are, the down 7% to 10% number we provided is reflective of a tightening of the spread between LIBOR and IOER. And so we've looked at that and continue to think that that's going to compress a decent amount. 
On a spot basis, I haven't looked at it this morning, but last week, it was kind of that LIBOR at kind of 70, 72 basis points against an IOER of 10 and we think that could continue to narrow a fair amount. And if you think about where LIBOR was just a couple of weeks ago, it's significantly higher than that. And so we certainly feel like that's got to be part of any projection."
4,0,CFO & Executive VP,Jason Jerrome Tyler,"Yes. Thank you, Ken. And yes, we've -- we're reinvesting short, is the quick answer to the question. And we want to -- we don't feel that there's potential -- that the potential need from clients to have very spiky, aggressive needs and desires to be on the balance sheet is necessarily over. And so we want to make sure we've got plenty of dry powder and plenty of capacity for them on both the loans and deposits side. 
And so we're taking a short-term approach of being there for our clients. Now our duration, I think at the beginning of last year of '19, probably, it was around 1.1. We had stepped that out. We told the investment community. We were going to step it out. We've gotten all the way out to about 2. 
And since then, very recently, as we're reinvesting maturing securities, that will come in a little bit as we position the portfolio to maintain maximum capacity. That's not reflective of a long-term strategy, but it is reflective of our desire to be there for clients in the short run."
4,1,Senior VP & Director of Investor Relations,Mark M. Bette,"Yes, the split between the shorter securities book and the longer. We've -- it's been running closer to 50-50 historically. I think more recently, the longer book was a little larger. And then as Jason said, as we reinvest depending on where those reinvestments go, that could shift a little bit. But in balance, a little bit tilted towards the longer side of where it was on average during the quarter."
4,0,CFO & Executive VP,Jason Jerrome Tyler,"Yes. And the funding side, we think of is more 50-50, and we try and stay matched on that reflectively on the reinvestment side. I think as we continue to go shorter, in the near term, that's going to lean a little bit more short, but in the long run, it's about kind of maintaining that -- maintaining the hedge."
5,2,"Chairman, President & CEO",Michael G. O’Grady,"Yes. Mike, this is Mike. In the way that we thought about the operating model over time, it's never been one that we thought in a stabilized way that we would be at 90% working outside the facilities. Frankly, what we've learned through this crisis is that we can meet client needs and be able to operate the business, execute the business even at that high level of remote working. Having said that, I -- this is not the level that we want to sustain. We'll have to be careful as we have people return to the office. That will happen in a phased approach. But frankly, longer term, as I mentioned, I think that there are opportunities because if you even went beyond just the ability to serve our clients and think about efficiency, we may have lost some efficiency during this time period. 
But frankly, it's also I would say, demonstrated that there are inefficiencies in having everybody come in and out of the facilities around the globe. And that there is certain work that is easier to have our partners, our employees do remotely. Or even if it's not completely remotely, do they come into a facility for a portion of the week? Things like that. And that also aligns with some of the things we've been doing over time about our workspaces. It's as you would expect, it's not all about everybody having an office or even a cubicle, it's more about open spaces and flexible workspaces and things like that. 
And that sits in with not having everybody reporting into the office at the same time. So we don't have the complete long-term operating model at this point. But again, I don't believe it will go back to the way it was. And I think, frankly, it will present opportunities for both greater efficiency and, I think, for our employees, additional satisfaction on their overall work life."
