Text,Processed_Text,Emotion By Score Ranges,Emotion By Keyword Stem,Sentiment Label,Positive Score,Negative Score,Neutral Score,Emotion Category
[Operator Instructions] Our first question comes from Glenn Schorr with Evercore ISI.,"['[', 'oper', 'instruct', ']', 'first', 'question', 'come', 'glenn', 'schorr', 'evercor', 'isi']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0465,0.0235,0.93,"Doubtful, Curiosity, Skepticism"
"So I noticed in the prepared remarks, in disclosure, you noted net interest revenue growth in every single business, obviously, rates were up, but it's also balanced growth. So we noted high deposit betas. I'm assuming that's going to stay given your mix of clients and business. So the question I have is, how much balance sheet growth is possible as you continue to have like really good capital return? Because that's what's -- that's going to help continuing to drive net interest revenue, right?","['notic', 'prepar', 'remark', 'disclosur', 'note', 'net', 'interest', 'revenu', 'growth', 'everi', 'singl', 'busi', 'obvious', 'rate', 'also', 'balanc', 'growth', 'note', 'high', 'deposit', 'beta', ""'m"", 'assum', 'go', 'stay', 'given', 'mix', 'client', 'busi', 'question', 'much', 'balanc', 'sheet', 'growth', 'possibl', 'continu', 'like', 'realli', 'good', 'capit', 'return', '?', 'go', 'help', 'continu', 'drive', 'net', 'interest', 'revenu', 'right', '?']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism, Doubtful, Curiosity, Skepticism",positive,0.8229,0.0162,0.1609,"Confidence, Excitement, Optimism, Positive Surprise"
"Yes, Glenn, it's Mike. Let me just give you a couple thoughts there, and then, hopefully, I'll answer the question. But as you sort of think about the first quarter, and we said this at Investor Day as well, so -- we saw deposit balances a little higher than we expected in the beginning part of the -- our first quarter and this has come back down to kind of where we expected them to be. And as we sort of think about the second quarter, all things considered, we still expect NIM to increase, and we would expect that even with the lower deposit balances, the rate of growth of NIR will be a little lower than the first quarter, but we still expect to be -- it to be pretty healthy versus the second quarter of 2017. So we still expect to see both of that happening. And I think as we build -- as we continue to build the franchise and bring on new clients, we would hope that our -- any of the decline we see in our balances as a result of rates rising would be more than offset or offset partially at least by new business coming in, and we have the room on the balance sheet to continue to do that.","['ye', 'glenn', 'mike', 'let', 'give', 'coupl', 'thought', 'hope', 'answer', 'question', 'sort', 'think', 'first', 'quarter', 'said', 'investor', 'day', 'well', 'saw', 'deposit', 'balanc', 'littl', 'higher', 'expect', 'begin', 'part', 'first', 'quarter', 'come', 'back', 'kind', 'expect', 'sort', 'think', 'second', 'quarter', 'thing', 'consid', 'still', 'expect', 'nim', 'increas', 'would', 'expect', 'even', 'lower', 'deposit', 'balanc', 'rate', 'growth', 'nir', 'littl', 'lower', 'first', 'quarter', 'still', 'expect', 'pretti', 'healthi', 'versu', 'second', 'quarter', '2017', 'still', 'expect', 'see', 'happen', 'think', 'build', 'continu', 'build', 'franchis', 'bring', 'new', 'client', 'would', 'hope', 'declin', 'see', 'balanc', 'result', 'rate', 'rise', 'would', 'offset', 'offset', 'partial', 'least', 'new', 'busi', 'come', 'room', 'balanc', 'sheet', 'continu']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism, Doubtful, Negative Surprise, Curiosity, Skepticism",positive,0.8771,0.0608,0.062,"Confidence, Excitement, Optimism, Positive Surprise"
"Okay. I appreciate that. You mentioned the business wins, obviously, in tri-party and collateral management claiming as the balances grow. Business wins and losses in Asset Servicing, are we not going to get that anymore?","['okay', 'appreci', 'mention', 'busi', 'win', 'obvious', 'tri-parti', 'collater', 'manag', 'claim', 'balanc', 'grow', 'busi', 'win', 'loss', 'asset', 'servic', 'go', 'get', 'anymor', '?']",Unclassified,Unclassified,neutral,0.0689,0.0568,0.8743,Neutral
"Well, yes -- no, we took that stat out because -- and we did -- and this came up a little bit at the Investor Day. And we agreed with the view that it just really wasn't a particularly worthwhile statistic. It's a gross number, not a net number. Our belief the way different people talk about it across the industry is very different, relative to timing, relative to -- is it custody, is it fund accounting, middle office, how you account it? And so our view is there just wasn't a whole lot of value in it, which we agreed with.","['well', 'ye', 'took', 'stat', 'came', 'littl', 'bit', 'investor', 'day', 'agre', 'view', 'realli', ""n't"", 'particularli', 'worthwhil', 'statist', 'gross', 'number', 'net', 'number', 'belief', 'way', 'differ', 'peopl', 'talk', 'across', 'industri', 'differ', 'rel', 'time', 'rel', 'custodi', 'fund', 'account', 'middl', 'offic', 'account', '?', 'view', ""n't"", 'whole', 'lot', 'valu', 'agre']",Unclassified,Unclassified,neutral,0.0645,0.075,0.8605,Neutral
Our next question comes from the line of Alex Blostein with Goldman Sachs.,"['next', 'question', 'come', 'line', 'alex', 'blostein', 'goldman', 'sach']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0349,0.0314,0.9337,"Doubtful, Curiosity, Skepticism"
"I wanted to follow up on the discussion related to capital and the NPRs put out by the Fed. So in terms of, I guess, the excess capital dynamic, obviously, too early to really tell. But I was wondering if you guys think through the impact it could have on the business, particularly in the repo markets, which, I guess, has partially been somewhat constrained by the leverage requirement at the banks. A, I guess, do you think some of that could come back? To what extent you think that could help your tri-party repo business and if possible, I guess, break out how much of revenues you guys generated in tri-party repo to help us kind of calibrate what the upside could be?","['want', 'follow', 'discuss', 'relat', 'capit', 'npr', 'put', 'fed', 'term', 'guess', 'excess', 'capit', 'dynam', 'obvious', 'earli', 'realli', 'tell', 'wonder', 'guy', 'think', 'impact', 'could', 'busi', 'particularli', 'repo', 'market', 'guess', 'partial', 'somewhat', 'constrain', 'leverag', 'requir', 'bank', 'guess', 'think', 'could', 'come', 'back', '?', 'extent', 'think', 'could', 'help', 'tri-parti', 'repo', 'busi', 'possibl', 'guess', 'break', 'much', 'revenu', 'guy', 'gener', 'tri-parti', 'repo', 'help', 'us', 'kind', 'calibr', 'upsid', 'could', '?']",Curiosity,Unclassified,neutral,0.1451,0.0343,0.8207,Curiosity
"Yes, Alex, this is Mike. I think the impact on -- you'll get a better sense from the other banks in terms of exactly what the impact they think they will have, but you would think that given the constraints they are all under now, that you would see that have a positive impact on the repo market, which would then come back to us from a servicing perspective. To what extent? It's hard to know right now.","['ye', 'alex', 'mike', 'think', 'impact', 'get', 'better', 'sens', 'bank', 'term', 'exactli', 'impact', 'think', 'would', 'think', 'given', 'constraint', 'would', 'see', 'posit', 'impact', 'repo', 'market', 'would', 'come', 'back', 'us', 'servic', 'perspect', 'extent', '?', 'hard', 'know', 'right']",Unclassified,Optimism,neutral,0.0823,0.0327,0.885,Optimism
Any sense how much you guys generated in tri-party repo revenues currently?,"['sens', 'much', 'guy', 'gener', 'tri-parti', 'repo', 'revenu', 'current', '?']",Unclassified,Unclassified,neutral,0.0534,0.0209,0.9258,Neutral
"That's not something we disclose, but it's included in the Clearance and Collateral Management line that you see in the disclosure.","['someth', 'disclos', 'includ', 'clearanc', 'collater', 'manag', 'line', 'see', 'disclosur']",Unclassified,Unclassified,neutral,0.0261,0.0309,0.943,Neutral
