Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] And our first question comes from the line of Brennan Hawken with UBS.,neutral,0.0403,0.0235,0.9361
6,Brennan Hawken,,"I was hoping to ask actually, Emily, about some of those comments on capital and Fed returning to the STP approach, which allows for capital returns. The Tier 1 leverage ratio is now inside your guided band with a buffer of 5.5% to 6%, I believe. You all have referenced that you have levers to pull, which might help on that front. 
So could you maybe walk us through some of those dynamics? And then also, how rigid is that buffer that you've applied? It seems to be a bit above peers. And so would you -- or are you in a position where you could allow yourselves to go underneath that buffer for a period of time given the unusual growth in deposits.",neutral,0.159,0.0185,0.8226
19,Emily Hope Portney,,"Sure. Thanks for the question. So we are very -- managing our deposits very closely. Having said that, we will absolutely continue to support our clients with their balance sheet, and we're comfortable with where deposits are now. But of course, it goes without saying then, over the course of the last 12 months, there have been a lot of additional reserves in the system, liquidity in the system, and so we've seen a surge in those deposits. 
A large portion of that surge is excess, so it's nonoperational. We've been very successfully working with our clients to basically explore and move some of those nonoperational deposits to off-balance sheet vehicles. Thankfully, we have a good platform and liquidity direct that has lots of alternatives. It's an open platform. So that has been very effective. 
You are correct in pointing out, as I did mention in my prepared remarks that given the unprecedented liquidity in the system, we would feel comfortable dipping into our Tier 1 leverage buffer. We do hold a very significant buffer, in excess of 150 basis points over reg minimums. We've sized that very carefully. It's basically to both absorb any impact to OCI given rate changes as well as also the -- any surge in balances. And given that's really what we've seen and the buffer is really there for this particular kind of unprecedented environment, ultimately, we would feel comfortable dipping below the 5.5% for a period of time, of course, running certainly above the regulatory minimum.",positive,0.4936,0.0279,0.4785
6,Brennan Hawken,,"Right, okay. That helps, and that's great to hear. And then one other question on the balance sheet. It seemed as though the interest-earning asset growth lagged deposit growth this quarter on an average basis, right, just looking at your balance sheet. Was that because some of those deposits may be temporary? 
Maybe you all were in the process of encouraging some folks to consider off-balance sheet options like you referenced and, therefore, the -- when we gauge balance sheet growth here this quarter, we should more pay attention? Which one should we pay attention to more? Which one is more indicative? Is it the interest-earning asset growth? Or is it deposit growth? And -- or is it just that you'll be putting more money to work and therefore the interest earning asset growth will catch up? I just wasn't -- it seemed a big gap, so I wasn't sure about that, right?",neutral,0.0719,0.0816,0.8465
19,Emily Hope Portney,,"Yes. I mean, sure, so certainly -- and I think I just mentioned, so a significant portion of the deposit growth that we've seen, we do think is excess and so nonoperational. So it's very hard to really redeploy that into the securities portfolio or the loan portfolio for any real duration. So as a result, a lot of that is just sitting at the Fed earning 10 basis points, which obviously is dilutive to NIM, but, of course, it is overall accretive to NIR, just obviously marginally so. 
So when we think about just NIR in general, we really just use the forward curve to project. And despite, of course, the steepening of the long end of the curve, we did see the short end grind lower. And also the duration of the curve where we will invest is more in the 3- to 5-year mark, and that didn't go up as much as the long end. But of course, to the extent the curve does continue to steepen and/or shift upwards, that will be extraordinarily helpful.",neutral,0.1916,0.2568,0.5516
0,Operator,,And we will take our next question from the line of Brian Bedell with Deutsche Bank.,neutral,0.0375,0.0286,0.9338
7,Brian Bertram Bedell,,Can you hear me?,neutral,0.071,0.0306,0.8983
17,Thomas P. Gibbons,,"Yes, Brian, we can hear you.",neutral,0.0872,0.0172,0.8956
7,Brian Bertram Bedell,,"Very good. Just one more on the rate sensitivity and net interest revenue and fee rate, which was down, just the cadence as they move through the year and really into second quarter. And back a little bit to that deposit strategy with the excess deposits, is there an ability to put a little bit more on the securities portfolio as we move into the second quarter? 
So what I'm trying to get at is there -- are we -- given your full year guidance, are we at sort of stability as you see it coming into the second quarter on NIR? Or is it maybe another dip down before we go up? And then similar to that, on the fee waiver, I think you said $220 million for the second quarter, but then I'm not sure if I got this correct that you thought that was going to improve in the back half and that was based on balances. Can you clarify that?",neutral,0.1169,0.178,0.7051
17,Thomas P. Gibbons,,"Emily, do you want to take it?",neutral,0.0407,0.0324,0.9269
