Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] And we will take our first question from Betsy Graseck with Morgan Stanley.,neutral,0.0389,0.0178,0.9433
5,Betsy Lynn Graseck,,"Really great quarter. Thanks for all the detail and the incremental information here. I did just want to understand how you're thinking about managing the balance sheet in an environment where deposits are under pressure, even though it might be modest. I think you indicated that average deposits [Q-to-date] is around 110 and that's down around 3% from last quarter, I believe. So just wanted to understand how you're thinking about that.",negative,0.0117,0.9658,0.0226
37,Jason Jerrome Tyler,,"Sure. The most important thing, and you referenced it, is that it's just -- it's an uncertain environment. And although we've got -- we have over $50 billion in what we refer to as economic liquidity, which is the cash we have on hand at the Fed here and central banks around the world, and also the short-term securities we have, so that provides a ton of liquidity. But the environment is just uncertain. And so on -- in some ways, we want to just maintain as much liquidity as possible and not be greedy. And on the other side, the balance sheet is always available for clients and we -- particularly from a liquidity perspective. And that means we want to leave plenty of room for clients that either want to deposit with us or also might need lending from us. And so these uncertain times just call for maximum patience for us and maximum flexibility so that we can be available for whatever our clients want.",neutral,0.1474,0.0188,0.8338
5,Betsy Lynn Graseck,,"And just as a follow-up to that, could you help us understand how you're thinking about the loan book going forward because to the extent there is demand, it seems like you've got a decent amount of capacity there.",neutral,0.4676,0.0128,0.5196
37,Jason Jerrome Tyler,,"Sure. Yes, you're right. There's a -- as you think about this effectively, the securities book at $50 billion acts as the ultimate fulfillment of -- and completion mechanism in the balance sheet. We couldn't do all of that with loans, but we certainly have capacity to do a lot more but it's always going to start from our perspective with maintaining prudent credit quality and approach. And then working -- the best thing we can do is work with existing clients on existing types of loans. And so that's why a couple of years ago, you heard us talk about an initiative to do more lending, we did that. That was very largely with existing clients. 
From here forward, we're not looking to having any initiatives to dramatically increase the loan book. It's -- from our perspective, it's responding to clients as they need in different categories. And but the turmoil that we're looking at, it does provide opportunities. If you look at the -- if you look internally at the opportunity set we have, there's a lot of opportunity. And so we have to be thoughtful about how to grow and with what clients or prospects we want to grow, but this is a period where there are opportunities out there.",neutral,0.1542,0.0135,0.8323
0,Operator,,We will take our next question from Alex Blostein with Goldman Sachs.,neutral,0.0371,0.027,0.9359
4,Alexander Blostein,,"So I was hoping we could start with opportunities you guys are seeing in the wealth channel on the back of the dislocation in the banking space. Mike, you mentioned obviously a flurry of activity towards the end of the quarter. Can you maybe help us frame what that means in terms of maybe revenues and I guess, zooming out a little bit, does what has been happening and I guess, continues to happen in the banking world, does that increase your kind of organic growth prospects and to what extent in the wealth channel?",neutral,0.272,0.0131,0.7149
38,Michael Gerard O’Grady,,"Sure, Alex. So as I did mention, there has been a lot of activity. And as we've talked about before, when there's more money in motion, we do have the opportunity to grow a little bit faster. And so we did see that pick up in the first quarter after the back half of last year, where we talked about the fact that there was less activity as a result of the interest rate environment. That said, this is something where the nature of the clients that we serve and that we work with and that we look to bring on board are pretty meaningful. And so it's a longer-term process and, I would say, business building process than what I would call a sales process to do that. 
I mentioned some of the momentum that we saw in the upper part of the market above $50 million. And the fact that we have a lot of prospects in that area as well. So we see this more as, I would say, a longer running opportunity rather than a 1 quarter, 2 quarter opportunity. And that's how we're approaching it.",neutral,0.2084,0.0219,0.7696
4,Alexander Blostein,,"Got it. Great. And then my follow-up just around deposits and talk about this common tax season for the extra detail. So 110 average so far in April, and it sounds like maybe down a little bit more on the back of the tax season where things are standing now. What's the mix, I guess, between interest-bearing and noninterest-bearing balances and the way you guys see it right now in April? And when it comes to the wealth deposits in particular, it sounds like they were down a little bit more the institutional in the quarter. So I guess, as you think about rolling forward, what's the approach to the rate you guys are paying of wealth deposits from here since it seems like a lot of it is ultimately still sorting into money market funds.",neutral,0.04,0.4175,0.5425
37,Jason Jerrome Tyler,,"Sure. So let me give you a couple of incremental data points to work with. One, you're right. We -- and it's typical, obviously, as you know well, Alex, for us to see a drop after the peak of tax season. And so it has come down a few in the range of $4 billion or $5 billion since that average -- relative to that average. And that said, we -- from a mix perspective, not seeing anything dramatically different early on. And we talked about the fact that the noninterest-bearing mix is higher than even it was last time rates were up. But as rates flatten out, probably less incremental shift from that mix. 
And then within wealth, in particular, Mike mentioned the growth there. And you're exactly right in calling out a lot of it going to cash. And I mentioned that there's a lift overall in client liquidity. So of the lift that we've seen in cash, about $5 billion of that was in the wealth channel alone over the quarter. And so -- and that more than offsets the deposit decline that we saw in that channel. And so you just get a sense that the flows in that business are positive and give us a sense that there's good activity there.",positive,0.5328,0.2323,0.2349
