Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] We have our first question from Ken Usdin with Jefferies.,neutral,0.0495,0.0204,0.9301
12,Kenneth Michael Usdin,,"Eric, just a follow-up on all things related to the rate environment. Just wondering, first of all, on the commentary about considering some alternatives with regards to the Brown Brothers deal. Can you elaborate what that might mean? Is that potentially some type of thing you might have to fix on the capital side? Or is that related to just timing and deal structure? Any help there would be appreciated.",neutral,0.0633,0.0198,0.917
45,Eric Walter Aboaf,,"Ken, it's Eric. No, capital from a capital perspective, we're quite comfortable with closing. We've got almost 12% capital ratios today. We've got a very, I think, smooth path to being prepared for a close from a capital perspective. The modifications we're talking about are just around the underlying structure of the transaction. And you've seen this done from time to time before. But we're working through legal entity and subsidiary structure, the exact transfer of systems and third-party contracts. Some of the transition servicing agreements, those kind of structure and modifications that we think will make this a cleaner process and be favorable on several fronts.",neutral,0.2793,0.0144,0.7063
12,Kenneth Michael Usdin,,And then is there any updated thoughts about general zone of what you might think about for potential closing?,neutral,0.0243,0.0283,0.9474
45,Eric Walter Aboaf,,"As Ron had said, the regulatory review process has taken a bit longer. We've obviously been heavily engaged in that process. Because of some of the modifications that we're working through jointly with Brown Brothers leadership team, we're deeply in the process of getting additional and refined submissions in. Those will take several months for review and further dialogue. I think you have a sense for how this plays out. And that's why in the prepared remarks, I think Ron described that we expect those reviews to come through during the third quarter. 
I think at that point, we obviously then sprint to a close. And depending on exactly what month and what week those come through, then we look for -- you take out the calendar, you look at the weekends and do the usual, how do we now just close, but we've got to always close carefully, just given the usual financials and controls that you want to be mindful of.",neutral,0.0532,0.0348,0.912
12,Kenneth Michael Usdin,,Okay. And just -- I guess I'll ask a starter one on NII and then leave it to others. But just can you -- do you know just the impact related to the restructuring type of actions versus what you might have thought for NII?,neutral,0.0331,0.0482,0.9187
45,Eric Walter Aboaf,,"There's a range of that. I think you've seen us guide to NII up for the quarter of up 7% to 9%. And that on a year-on-year basis is actually going to be quite nice. I think it's -- is it worth 1 percentage point, 2 or 3? It's those kinds of I think, adjustments that we're willing to make so that we both run an appropriate portfolio in what could be a highly volatile rate environment, including another possibility of rates could move another 50, 100 basis points, and we want to have a portfolio that can withstand that. And to be honest, we're willing to take a few percentage points of NII growth off the table on a sequential basis to do that. 
So I think it's a balance, but that's the range. And even with some of those adjustments, a lot of what we'll be doing is in the move from AFS to HTM, which is not NII impacting. There are others on the margin that are, but that's kind of the range that I'd share with you.",neutral,0.1634,0.0161,0.8205
0,Operator,,Your next question is from Glenn Schorr with Evercore ISI.,neutral,0.034,0.0377,0.9283
11,Glenn Paul Schorr,,"So the SEC wants to implement T+1 by the end of next year. I saw the comment letters, including yours. My personal opinion is nobody is ready for it in the industry. So I'm curious why the move from T+2 to T+ -- I'm sorry, T+3 to T+2 was kind of easy and T+2 to T+1 everybody seems to be pushing back. Is it the complexity and shorter time horizon? Is the money to spend on the technology? It's just a little weird to me.",neutral,0.0554,0.1452,0.7995
48,Ronald Philip O’Hanley,,"Yes, Glenn, it's Ron. Why don't I take that. I mean I think that if you look back in history, everybody has resisted these moves to some degree because it does involve some spending of money and changing in systems and all that. We've spent a fair amount of time on this and thought about this and have been in conversations with regulators and it will be an added burden, but we don't think it's something the industry can't get done in a reasonable amount of time. So I'm not -- I haven't read other people's comment letters. I know how we've thought about it. So we think it will be one of these things like a LIBOR, if you will, more recent history, that will take a lot of time, take a lot of effort, but it's certainly not something that's going to, in our mind, sideline us or sideline other major players.",neutral,0.0602,0.0684,0.8714
